# Time =     1.96559098E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
# Time =     3.39667915E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     3.59668666E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140025       -2.5563693556997282E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     3.79669416E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
# Time =     3.99670166E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.19670917E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -5.5775331397084985E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.39671667E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.59672417E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -5.5775331397084985E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.79673168E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030       -2.7887665698542493E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.99673918E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140039       -2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.19674668E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.6267804990816459E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.39675419E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140039       -4.6479442830904154E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     5.59676169E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        9.2958885661808348E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     5.79676919E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -4.8803414972449361E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.99677670E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        2.7887665698542496E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.19678420E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.39679170E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -3.9507526406268534E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.59679921E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        3.4859582123178117E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.79680671E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -6.9719164246356241E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     6.99681421E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        4.1831498547813745E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.19682172E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        1.3943832849271248E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.39682922E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        1.6267804990816451E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.59683672E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -5.1127387113994572E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.79684423E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        3.7183554264723323E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.99685173E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     8.19685923E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        1.6267804990816455E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     8.39686674E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     8.59687424E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     8.79688174E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     8.99688925E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -7.4367108529446647E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.19689675E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.39690425E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -7.6691080670991865E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.59691176E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        9.5282857803353519E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.79691926E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -9.2958885661808316E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.99692676E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.01969343E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -3.0211637840087695E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.03969418E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -4.6479442830904134E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.05969493E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.07969568E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        5.5775331397084985E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.09969643E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        1.2317052350189602E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     1.11969718E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -2.3239721415452083E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.13969793E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        3.3697596052405511E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.15969868E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -8.3662997095627474E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.17969943E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        7.0881150317128835E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.19970018E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        3.0211637840087707E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.21970093E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140039        1.2433250957266861E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     1.23970168E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -5.5775331397084977E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.25970243E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -1.7429791061589056E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.27970318E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -1.3943832849271248E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.29970393E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -5.8099303538630227E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.31970468E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.33970543E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        8.1339024954082275E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.35970618E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        3.4859582123178117E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.37970693E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.3595237028039465E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     1.39970768E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.3239721415452067E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.41970843E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -4.5317456760131549E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.43970918E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        9.0634913520263113E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.45970993E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -3.8345540335495933E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.47971068E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -6.9719164246356202E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.49971143E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -8.2501011024854864E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.51971219E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        1.0457874636953435E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     1.53971294E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        6.1585261750948008E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.55971369E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -2.3239721415452079E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.57971444E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        9.4120871732580910E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.59971519E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030       -3.4859582123178117E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.61971594E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        8.1339024954082275E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.63971669E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.3239721415452028E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.65971744E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        1.4408627277580289E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     1.67971819E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.0690271851107955E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     1.69971894E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        7.9015052812537052E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.71971969E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030       -8.5986969237172692E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.73972044E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -9.6444843874126113E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.75972119E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        9.2958885661808348E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.77972194E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        1.2781846778498643E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.79972269E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.0457874636953435E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     1.81972344E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -7.9015052812537068E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.83972419E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
# Time =     1.85972494E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.9172770167747963E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     1.87972569E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        5.8099303538630196E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.89972644E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -4.9965401043221962E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.91972719E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        5.5775331397084985E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.93972794E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.0457874636953436E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.95972869E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.97972944E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -7.7853066741764459E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.99973019E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -6.9719164246356202E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     2.01973094E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        6.6233206034038421E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.03973169E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -2.0915749273906868E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.05973244E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        1.2665648171421383E-014  -0.0000000000000000       -0.0000000000000000     
# Time =     2.07973319E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140025       -2.3239721415452067E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     2.09973395E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        1.5105818920043852E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.11973470E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022       -2.3239721415452079E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.13973545E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140025        8.2501011024854864E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.15973620E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022       -1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.17973695E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022        7.9015052812537052E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.19973770E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016        2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.21973845E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022       -7.6691080670991865E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.23973920E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016       -4.6479442830904158E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.25973995E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022       -4.6479442830904158E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.27974070E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140019       -2.3239721415452077E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     2.29974145E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016       -6.5071219963265820E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.31974220E+02 (a.u.)
