# Time =     1.96559098E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.19659662E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        1.6267804990816451E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        1.6267804990816451E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        1.6267804990816451E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033        1.6267804990816451E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.39660412E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        1.1619860707726042E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140030        1.1619860707726042E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140030        1.1619860707726042E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140030        1.1619860707726042E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.59661162E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027       -9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027       -9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027       -9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.79661913E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033        2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.99662663E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        3.4859582123178117E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027        3.4859582123178117E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027        3.4859582123178117E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027        3.4859582123178117E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.19663413E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        5.3451359255539774E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        5.3451359255539774E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        5.3451359255539774E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033        5.3451359255539774E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.39664164E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        1.8591777132361658E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027        1.8591777132361658E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027        1.8591777132361658E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027        1.8591777132361658E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.59664914E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        3.9507526406268534E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        3.9507526406268534E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        3.9507526406268534E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033        3.9507526406268534E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.79665664E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027        1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027        1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027        1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.99666415E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -1.1619860707726040E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -1.1619860707726040E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -1.1619860707726040E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140036       -1.1619860707726040E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     3.19667165E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
# Time =     3.39667915E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     3.59668666E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -2.5563693556997282E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140025       -2.5563693556997282E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140025       -2.5563693556997282E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027       -2.5563693556997282E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     3.79669416E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -2.3239721415452087E-016  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033       -2.3239721415452087E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     3.99670166E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027        1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027        1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027        1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.19670917E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -5.8099303538630196E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -5.5775331397084985E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -5.5775331397084985E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140036       -5.8099303538630196E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.39671667E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140030        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.59672417E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -4.6479442830904154E-016  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -5.5775331397084985E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -5.5775331397084985E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140036       -4.6479442830904154E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     4.79673168E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030       -2.7887665698542493E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140030       -2.7887665698542493E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140030       -2.7887665698542493E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140030       -2.7887665698542493E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     4.99673918E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140039       -2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140039       -2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140039       -2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140039       -2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.19674668E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.6267804990816459E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -1.6267804990816459E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -1.6267804990816459E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033       -1.6267804990816459E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.39675419E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140039       -1.1619860707726042E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -4.6479442830904154E-016  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -4.6479442830904154E-016  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140039       -1.1619860707726042E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.59676169E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        9.2958885661808348E-016  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140030        4.6479442830904134E-016  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140030        4.6479442830904134E-016  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033        9.2958885661808348E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     5.79676919E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -1.1619860707726040E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -4.8803414972449361E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -4.8803414972449361E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140036       -1.1619860707726040E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.99677670E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        2.3239721415452083E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140030        6.9719164246356241E-016  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140030        6.9719164246356241E-016  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140030        2.3239721415452083E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.19678420E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036        1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140036        1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.39679170E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -3.4859582123178113E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -3.4859582123178113E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033       -4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.59679921E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -3.7183554264723323E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036        5.1127387113994572E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036        5.1127387113994572E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140036       -3.7183554264723323E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.79680671E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -3.7183554264723323E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -3.7183554264723323E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033       -2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     6.99681421E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -2.0915749273906868E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036        4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036        4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033       -2.0915749273906868E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.19682172E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        5.3451359255539774E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027        5.3451359255539774E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.39682922E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140039        1.1619860707726053E-016  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140039        1.1619860707726053E-016  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140036       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.59683672E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140025       -5.1127387113994564E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -2.0915749273906872E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140025       -5.1127387113994564E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.79684423E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140042        2.7887665698542493E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140042        2.7887665698542493E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140036       -1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.99685173E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022       -2.3239721415452107E-016  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        3.9507526406268534E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        3.9507526406268534E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140022       -2.3239721415452107E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     8.19685923E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140039       -7.6691080670991849E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140039        1.9753763203134267E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140039        1.9753763203134267E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140039       -7.6691080670991849E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     8.39686674E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016        3.0211637840087707E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        7.4367108529446647E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        7.4367108529446647E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140016        3.0211637840087707E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     8.59687424E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140042       -9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -1.5105818920043850E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -1.5105818920043850E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140042       -9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     8.79688174E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140022       -5.5775331397084993E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        3.0211637840087699E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        3.0211637840087699E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140022       -5.5775331397084993E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     8.99688925E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140044       -1.6267804990816455E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -1.9753763203134267E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -1.9753763203134267E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140044       -1.6267804990816455E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.19689675E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140016       -1.1619860707726038E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.39690425E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140039        2.0915749273906868E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -3.1373623910860309E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -3.1373623910860309E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140039        2.0915749273906868E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.59691176E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140019        4.8803414972449353E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        5.1127387113994572E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        5.1127387113994572E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140019        4.8803414972449353E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.79691926E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140042       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140036       -5.6937317467857586E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140036       -5.6937317467857586E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140042       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
# Time =     9.99692676E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140019       -3.0211637840087699E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -5.1127387113994572E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -5.1127387113994572E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140019       -3.0211637840087699E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.01969343E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140042        4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140030       -4.0669512477041135E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140030       -4.0669512477041135E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140042        4.4155470689358947E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.03969418E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016       -1.6267804990816459E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -1.6267804990816455E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -1.6267804990816455E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140016       -1.6267804990816459E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.05969493E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140039        1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033        1.1619860707726053E-016  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033        1.1619860707726053E-016  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140039        1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.07969568E+02 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140016        6.9719164246356241E-016  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -6.2747247821720609E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -6.2747247821720609E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140016        6.9719164246356241E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.09969643E+02 (a.u.)
